Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70521293,34.12932835,46.38223732,64.35938015,71.76094455,68.61879746,59.30106788,55.9203451,61.5203155,57.44717644,62.78575915,70.03766551,57.98778623,56.64763333,49.76151386,48.01059481,47.0157851,46.61227252,51.76946075,54.02227953,53.1201587,53.56308995,50.99266329,44.76309027,48.0270678,55.8145569,59.19919014,59.87096007,56.18706975,60.37938734,72.4063769,
American Samoa,ASM,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.703125,204.389313,203.3398821,176,203.8539554,152.7027027,161.6071429,143.1111111,118.8481675,113.1578947,127.8125,135.8934169,148.8335925,156.6121842,155.4396423,162.0915033,161.1893584,164.6058733,152.149792,137.0666667,132.8358209,
Antigua and Barbuda,ATG,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,52.90544189,61.44788876,91.67585199,86.73751008,102.1362476,97.34179105,70.82304888,71.98634691,75.95758709,78.15724074,78.89081604,66.97810603,47.40256845,60.06916176,71.62023973,75.50850852,71.93920981,65.48703706,69.11706209,63.59178759,61.26780107,57.84085242,58.99243017,55.54410183,53.34289548,53.90594089,54.53082901,55.55980622,57.57784214,60.29388711,59.95006277,58.97507292,47.62565242,47.61904762,37.92913074,41.82027746,43.15593869,45.76344941,35.81971901,36.18196148,37.55342746,43.6344912,42.83184321,36.85861675,38.40469599,45.08138207,
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,25.32439766,24.04119338,24.57515107,25.91012332,26.76764363,26.0508055,24.83901661,24.31451203,24.12416531,23.87458128,23.77242347,23.09105305,22.07687162,26.55767965,25.85093768,23.27265946,24.20060511,24.35707868,25.30389625,27.31983411,29.56485492,26.96092073,24.75128661,23.4512745,25.33601376,26.84553288,26.67371526,29.5212611,29.35710962,27.36435714,26.24650517,25.6167282,26.61323739,28.28964862,31.27392228,31.07130827,31.32690757,29.56597832,30.15529477,32.14096985,32.53471198,33.52612652,34.79710295,34.09187021,31.87925135,33.25864048,35.09939011,35.87033036,36.69401003,34.43314409,36.05853718,36.85089815,33.44522695,31.39037738,32.50223007,29.30863306,32.19453036,34.66102967,34.44585596,35.31792694,34.77551247,38.87208969,42.63257428,
Austria,AUT,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,38.46682496,36.74907012,36.30685903,35.83636487,36.08512339,37.03195767,36.84898126,35.563058,36.0512425,38.55611918,41.67044614,41.20170082,41.24732476,42.01864637,45.98841137,42.22000725,46.62246528,46.66339291,45.43589616,48.32878867,51.10109124,51.92426357,49.30741243,48.32155961,52.02297651,55.0897492,49.8514861,48.23447792,50.4352063,53.2553781,54.31284445,52.89360155,50.56897032,47.17466735,49.24699951,51.43373842,53.41474951,58.98904764,61.2063862,63.23416154,71.0143778,73.60888209,73.21630524,74.98962024,79.04296658,79.88458477,81.46870096,83.93348159,84.61529039,69.70651165,79.42614615,85.44304627,84.2995772,83.3195062,81.40789913,80.83699546,78.2611842,82.38988904,83.19655887,81.74339684,78.58120601,88.11393408,94.13750928,
Azerbaijan,AZE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.7465198,103.7320223,120.1031452,53.90241949,50.08645696,39.72377703,37.80613265,42.89223716,55.32358422,65.61408242,61.46481834,71.7111569,82.15053781,90.58979101,87.14165207,82.64592985,78.11461487,62.33797007,62.79047969,67.71661312,61.78391832,56.66623867,49.77154012,48.62628223,57.03383362,59.37362971,67.46196912,69.13031374,57.30447614,61.85270463,66.92872376,
Burundi,BDI,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,14.28571501,12.31527142,13.11475373,11.60042975,9.971236511,16.98167005,18.13296123,19.06929043,20.74235808,17.34963648,18.95089717,19.37966977,23.50037508,20.04338311,21.43290609,22.32849813,26.53804983,29.95239274,27.3669299,32.71579432,25.33361361,24.35383229,29.70720474,24.19370542,29.27637915,26.17438451,29.6240698,26.77940545,31.13442328,23.78977102,27.02938446,29.55289101,27.05353728,28.12602041,37.18795937,33.88548367,19.10167237,21.27667736,24.95046995,21.28509442,22.74591263,20.30121707,19.26351536,24.85170467,24.36473266,29.27187999,38.40188239,27.87200787,28.53888614,26.3267926,30.01768792,39.13551553,37.92844137,36.91456811,33.29904468,31.50769596,28.02054926,34.03599785,36.48044742,41.4124658,40.41997125,43.05067227,42.08195985,
Belgium,BEL,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1917456,154.5158995,155.8686437,160.3964033,154.2247549,160.4722076,169.322013,175.9614657,178.9064262,181.3446867,149.7118997,165.9398311,180.1185413,178.3859443,176.3995495,172.9377937,167.0585268,163.3278361,166.8504105,169.9618233,163.4342018,155.7770703,179.1093012,215.7789154,
Benin,BEN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,21.66266924,16.97301397,16.07207367,18.11539288,16.30722782,16.55693784,14.19492172,20.57331271,22.06402147,24.79227066,29.07432329,35.51464613,31.19426333,30.7310374,32.63290612,32.50254176,34.93658556,39.86402082,36.38933912,30.8540237,28.03767887,44.68987513,38.49252329,35.14864042,43.28658346,50.68313264,43.03563569,38.97818957,49.00490166,42.5349381,28.2147848,28.74492224,53.85428875,41.98617777,51.87488136,53.74195315,50.06106329,48.71486126,46.55628712,31.84320202,28.55120579,27.1942023,27.96624138,26.78876163,23.63386266,24.30091122,27.92108217,37.75225529,36.48443867,33.7727296,34.98562448,33.09542358,33.94559228,39.87906825,48.0860146,37.25799101,39.30271651,44.95476865,54.12129534,48.53131363,41.76138069,44.12124661,47.88813745,
Burkina Faso,BFA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,4.539363328,9.136403337,11.32869526,11.67392197,12.67298487,12.29556292,12.44555742,11.979929,14.11684918,15.68057964,14.61591974,14.92502726,15.38207549,18.22833695,23.96378496,20.74528327,20.1731163,23.33753483,18.29784444,21.61876978,23.27968943,23.20025783,22.97016033,21.80870249,22.74159314,25.95824581,23.96499511,24.85405155,22.78252209,18.58090989,22.18423975,20.38247875,15.78935214,18.06511682,24.0596345,30.72050758,34.02214523,33.46040522,37.47010992,27.52564204,27.62458776,27.55165395,27.21989821,26.28266058,32.08180343,28.11423215,29.12597714,30.17418872,28.68347356,29.3100079,35.99541915,39.77551551,45.83228289,49.99144438,43.24028579,44.42130857,45.61547881,47.74949453,47.54542804,46.92251924,47.94355403,49.16338029,53.25167638,
Bangladesh,BGD,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,14.99623297,16.61982915,11.39663936,8.473727402,13.37337989,16.98243337,15.51751343,16.49162086,18.51356771,17.23482834,17.45171569,16.40633761,19.85112712,15.8943027,15.734338,15.56504642,16.29857818,17.21579123,16.73822065,16.47743728,18.38601992,19.71566542,22.31654973,26.87155379,24.29235195,25.07031444,25.23979432,26.97063838,28.615441,27.96376979,26.9369528,28.96328149,31.24167532,33.38856184,38.75850063,39.00045671,42.81289179,36.02341909,40.78363657,47.15014817,44.46750047,44.13545313,41.37074992,38.15180661,30.03584836,30.19082774,31.03717427,28.02398607,23.11005404,29.94992607,31.05793285,
Bulgaria,BGR,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,101.1127913,108.2033216,118.8088098,147.4914975,145.3826699,157.0349099,144.8939397,113.910537,150.692005,142.80228,49.09827145,68.99042004,75.0687251,78.28608899,88.58028919,57.99967899,81.04943879,87.22065128,61.5326068,69.39732985,86.03358272,87.40471094,83.44183022,87.08459013,93.22287346,100.1116292,111.4991327,109.106307,108.7908511,76.61300993,90.9025911,105.287696,109.4088053,114.3770289,111.7888007,107.4077081,102.8551248,110.6428573,107.6885002,103.08066,95.22691821,103.9569823,119.8589825,
Bahrain,BHR,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,230.7092738,244.2745609,203.0586519,170.8385075,171.1395301,164.4092928,150.8324475,151.650004,135.1558078,154.3911338,176.6755533,165.199977,162.6372593,145.7617757,132.6076176,133.8241399,147.0370983,132.4575825,110.5473313,121.7487898,119.4650859,110.1023096,112.6490646,110.9634906,113.6336021,122.9591089,122.7521957,115.6097561,125.6120737,95.79645602,105.9025112,112.5219963,99.70630718,98.1177686,96.8799517,93.22835725,75.58250381,80.40023572,87.07210033,81.17285023,77.26055272,93.04718078,103.0365074,
"Bahamas, The",BHS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,42.40184758,48.92212481,36.7482679,37.43505155,43.5,41.27937337,47.64705882,49.71859296,51.02247686,66.08130685,79.30565338,135.6818975,140.1252327,192.8752422,530.0442758,873.0291848,952.6553496,957.7840112,745.7952907,640.463183,940.2381487,944.4794953,689.5393778,495.498615,367.0079859,250.1831452,242.3053589,213.7804058,157.7060932,183.6708034,42.64055591,42.2993353,39.56256031,36.0931436,37.52684873,41.38232721,42.83735107,29.1676405,31.80052742,28.87867702,32.81136437,28.07222557,24.4787843,24.65589413,26.30506588,29.08643582,33.64724975,35.39159605,39.47368421,32.51866367,32.61765335,37.73416282,40.76340435,39.64215285,38.06903087,29.7698087,26.49181332,30.03223569,31.28753872,28.36423227,25.16761323,33.85787154,35.60407524,
Bosnia and Herzegovina,BIH,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.43590248,66.11046182,79.61105237,79.19584791,85.38238299,86.55096277,75.00306089,75.61266603,72.48572962,72.25645761,75.89197534,84.38182175,82.9236774,87.91579709,90.04438408,72.25523325,81.65895504,90.65001233,88.12464534,87.91410191,90.95448211,85.8552821,84.55957409,92.24956658,91.83729022,86.59541473,79.24439348,91.51541266,102.3579943,
Belarus,BLR,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.67391304,27.46598985,37.29241837,74.20675766,85.32310948,113.1587929,102.6124308,103.6640963,125.400607,127.3753872,117.2532795,120.6365414,130.781986,108.1989428,113.8605064,116.9898775,118.4353997,98.03399832,105.1301726,138.4936862,140.7669126,106.5915556,97.17075793,100.4323998,106.6098498,116.0304236,120.1625679,112.4543733,100.9356823,116.4699809,84.41417956,
Belize,BLZ,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,74.80636353,83.43066921,97.30804556,94.81449525,96.69954454,89.75308901,89.98866142,84.33257642,93.33352,99.15631646,97.488009,93.10248198,104.5485128,97.16835082,105.6606476,131.1402995,118.4416451,129.1967701,136.4636831,144.2687747,131.859323,143.3016514,120.1934113,98.90517903,104.0199518,102.5188878,92.81711226,87.51877073,92.78542977,92.37840485,62.30685271,63.19585856,59.8305856,53.86531893,53.40093055,51.31712189,49.87000335,53.05093912,50.40198791,56.97625784,63.44972112,58.72644225,64.51303136,65.59858057,59.1705795,62.11916439,68.10977097,64.73580176,75.40757198,62.44523596,68.0823543,78.89678919,78.33627029,76.02296764,72.9839213,69.66754064,62.30491935,60.57357884,61.45358438,59.11699547,52.54604614,61.20659869,66.24253601,
Bermuda,BMU,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,56.90526956,47.6254884,46.84913877,45.08657522,46.16009078,40.98123972,43.03365882,34.63170159,36.67585247,38.96103813,41.13288119,34.5586886,38.51419727,31.25755517,31.22388916,29.84119168,23.63294366,23.04943319,21.52840152,22.95128222,22.15377825,20.54078228,20.39505967,21.13925033,23.65819989,21.24016256,18.24544271,17.64445101,16.94842407,16.42127404,14.87672217,14.46292873,14.28305343,15.83728183,15.3414693,14.36612984,14.4349688,15.58318058,15.48579521,15.4240641,13.4017758,15.20933887,16.24701829,
Bolivia,BOL,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,32.68586738,33.49753695,35.36699831,35.56485356,36.94878539,43.95543175,40,40.22719679,35.91051805,36.61716769,34.66313524,32.3601721,30.01196172,38.8572333,45.06733927,41.64761628,41.08511533,38.71107601,38.21706869,36.66999224,36.10937313,31.65187938,24.67687239,24.60284477,19.67806909,24.43616135,33.13647171,30.72707949,25.90475393,30.38609142,33.13759896,34.04287202,31.89301665,33.72452216,37.46725466,37.60147709,37.47490962,38.07847861,36.32835473,33.86817353,36.437874,36.76219096,38.8843941,39.75304542,46.08220475,55.06264871,59.97286951,61.66107775,69.6042203,54.81548027,61.02884788,67.95846962,73.22269875,68.47831937,69.15647343,56.036027,45.69382852,45.68013932,47.06405306,45.33770296,38.47955256,50.95516281,60.67494175,
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75108035,11.67567745,13.39600571,15.082041,15.09437951,14.59770363,13.08185055,12.31476303,13.27391075,12.94322188,16.63992782,17.3563669,20.83435885,21.60906655,22.22796471,24.37077204,21.99972581,21.18313269,20.60869047,22.38905928,17.22679145,17.82014097,18.8204357,19.28247764,19.60620227,18.79795522,20.37728957,18.08627158,18.45603275,22.15673688,22.11560393,25.43961523,31.24987077,32.62238305,
Barbados,BRB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,93.00555344,80.56122229,74.0976486,74.73272931,80.48708875,86.07283987,74.0901277,68.74858545,69.42035028,75.80804907,77.73462901,68.0365679,55.69356248,39.25203326,41.64924575,42.81800991,45.72265876,44.83852854,36.53551354,37.02730602,37.04659348,45.55759139,47.13058898,51.19308856,44.79810448,46.47976419,46.67429319,44.06613194,41.23611782,45.02258919,49.09275657,51.39416154,52.33019953,48.5665383,50.32129983,40.93606539,44.09476623,48.96486556,50.82523272,47.29434111,47.00909168,44.38107309,44.16410299,41.76431705,39.64580989,37.91353841,38.9761121,41.11230729,46.47409188,
Brunei Darussalam,BRN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,88.56580349,94.15661909,90.62822368,100.1130246,99.86958865,99.95592484,258.7004246,104.1271336,110.5991566,108.5142594,113.1554505,111.9436679,110.750653,109.4984859,109.2076003,104.5486358,106.0640322,106.4442877,106.4601195,101.2543582,101.8012467,104.003503,92.32213569,91.12924023,91.84291942,91.29417116,105.0847459,92.81406986,97.15692341,99.43188236,94.90709203,97.25431824,89.85414047,89.11066696,85.23696803,83.4821612,85.68084255,89.98234852,87.65673237,82.3022496,81.20510876,81.18241227,79.76205779,89.56166957,89.90369976,83.49577584,86.87659023,87.00448485,83.22500461,82.51352647,74.10505795,66.26044728,71.37094942,79.14829609,90.14617141,99.54355682,140.1706689,140.3587736,
Bhutan,BTN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,52.07151326,63.23012015,60.09644387,56.15672682,56.72485853,64.91565255,66.41630144,58.49813864,74.18341326,60.42327421,52.47337107,60.75883136,79.50597033,68.59205514,61.01453076,74.01262414,75.146252,72.39606746,66.58258902,74.62851039,65.49668987,64.35821035,59.51853725,63.2450986,87.0231403,80.80923959,95.31540324,102.7982713,86.65841068,83.06219045,96.5767944,96.67421711,85.66872387,82.7347771,79.4403883,80.35548713,70.72811524,61.82086494,64.02574721,60.49676636,63.06955771,72.39874264,77.10930379,
Botswana,BWA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,55.900065,51.66762916,56.10891942,60.38038141,60.07254679,80.80596951,79.66477778,75.03109431,64.90718737,82.72843924,86.23982886,98.07874449,102.1519308,102.8165323,99.658805,100.7972069,101.8748485,104.5115371,102.3022452,120.6288421,112.5470438,111.1925623,112.6168626,116.8712229,109.362972,117.332216,113.097627,128.4330075,100.6218758,108.8584191,98.40036555,96.2748847,86.89330211,85.35792642,82.59651505,85.67625148,86.01915923,101.5882501,89.94920431,88.28897691,82.16532784,78.67592302,78.50904184,69.99856859,75.28913551,76.48020006,76.77062539,87.44926009,94.69911309,80.88187939,81.90057814,87.05122255,100.6366042,113.9524768,107.2262773,100.1718394,89.56656749,69.53673556,75.62848149,70.55521009,72.04405055,84.44224799,80.64634206,
Central African Republic,CAF,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,30.31502703,29.23630307,31.32963606,37.10026672,41.54195902,35.19845393,41.79066196,44.56096396,39.63133646,39.35349438,33.84335817,32.26594288,31.69532428,32.81915646,33.4045602,30.63434084,25.71192888,28.58279706,21.12749992,21.40518633,24.71619663,25.04304731,30.73582675,23.83557404,27.12361139,23.70353689,20.76158458,27.81034396,26.16809127,23.01588707,19.01838139,15.8272077,17.84806765,18.37687234,34.07057528,31.02054898,28.57735023,32.41831526,30.70280299,27.71448052,30.32361352,26.69815821,26.80539493,21.53520592,22.39931184,22.6475277,24.69457121,25.1204355,22.5744065,18.86444127,20.53587871,20.5087591,20.95511909,19.44968494,26.65170105,25.47431593,28.16410355,30.30376183,34.66939351,34.25919673,27.50652216,23.08763626,26.81923141,
Canada,CAN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,29.38826996,29.67390796,29.4429351,29.36265458,31.26726311,31.35823844,32.8491256,33.22589725,35.43236411,35.84279129,35.23325157,34.9836766,36.33139578,38.81930317,42.71907227,40.23684079,39.00244659,40.32870783,43.17372365,47.12594619,47.4123401,46.45648809,41.11326917,41.40156823,47.11307293,46.85869863,46.39045601,44.04200433,45.11680622,42.59853509,42.08744724,41.13201655,44.36450344,49.08233345,55.25495709,59.51256705,59.75043189,63.40507523,66.30804416,67.60329524,70.010689,65.92165126,63.08991259,57.81535455,58.1181137,58.21166094,56.63593803,55.20627271,56.37397371,46.99470279,48.85610662,51.02110149,50.96833755,50.58465852,52.69938054,53.97887832,52.54802114,52.40611196,53.40540251,52.29092339,49.00335102,50.39173192,54.63807942,
Central Europe and the Baltics,CEB,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,101.1127913,108.2033216,118.8088098,147.4914975,145.3826699,157.0349099,144.8939397,76.78872593,84.18482815,79.32789636,38.90828653,44.66640776,43.52383938,50.49388674,51.0308019,55.10395993,58.13903546,63.6037276,63.6791027,64.73398234,73.77801494,73.72748456,74.01997883,79.36298073,86.99610087,86.42254881,94.04483279,95.4326479,94.67099278,82.7361519,95.0900486,104.4178273,106.8236302,108.2320416,109.8439172,109.8952844,110.6344452,113.7245688,113.6694056,110.5206283,108.1885375,118.0165256,128.9000784,
Switzerland,CHE,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,42.68726366,43.68641476,43.44282399,42.767547,42.64338853,42.90161483,43.30081663,42.47460204,44.39170119,47.62511084,,,,,,,,,,,53.8300919,51.43044236,47.54381077,47.79020941,50.58959579,52.37775764,49.34693504,48.26779367,49.67369833,52.72268974,50.21944806,47.6017827,46.94210156,45.55323483,45.90857724,45.85503996,46.44785677,51.59975894,52.37939639,53.76675768,58.38525737,58.00978775,57.8361388,56.63493779,59.08278871,61.5618735,65.49666913,67.90918084,67.75160198,59.15632611,62.1005863,61.88662495,88.63739454,96.19475957,80.78657343,78.19230365,83.30161087,81.90971197,81.35370032,82.0334541,82.38537593,86.58168083,92.64166709,
Channel Islands,CHI,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
